team,GP,W,D,L,F,A,GD,P
Empoli,42,24,13,5,88,49,39,85
Parma,42,21,9,12,57,37,20,72
Frosinone,42,19,15,8,65,47,18,72
Palermo,42,18,17,7,59,39,20,71
Venezia FC,42,17,16,9,56,42,14,67
Bari,42,18,13,11,59,48,11,67
CittadellaC,42,18,12,12,61,48,13,66
Perugia,42,16,12,14,67,58,9,60
Foggia,42,16,10,16,66,68,-2,58
SpeziaS,42,13,14,15,46,45,1,53
Carpi,42,12,16,14,32,46,-14,52
Salernitana,42,11,18,13,51,58,-7,51
Cesena,42,11,17,14,55,61,-6,50
Cremonese,42,9,21,12,48,47,1,48
US Avellino,42,11,15,16,49,60,-11,48
Brescia,42,11,15,16,41,52,-11,48
US Pescara,42,11,15,16,50,64,-14,48
Ascoli,42,11,13,18,40,60,-20,46
Virtus Entella,42,10,14,18,41,54,-13,44
Novara,42,10,14,18,42,52,-10,44
Pro VercelliV,42,9,13,20,47,70,-23,40
TernanaT,42,7,16,19,62,77,-15,37
