team,GP,W,D,L,F,A,GD,P
Lecce,42,20,15,7,66,47,19,75
Cesena,42,20,14,8,55,29,26,74
Brescia,42,21,9,12,60,44,16,72
Sassuolo,42,18,15,9,60,42,18,69
Torino,42,19,11,12,53,36,17,68
CittadellaC,42,18,12,12,62,43,19,66
GrossetoGrosseto,42,14,19,9,66,63,3,61
Crotone,42,17,11,14,53,50,3,60
Ascoli,42,15,12,15,57,57,0,57
Empoli,42,15,11,16,66,56,10,56
AlbinoleffeAlbinoleffe,42,14,13,15,59,56,3,55
RegginaReggina,42,15,9,18,51,56,-5,54
ModenaModena,42,14,12,16,39,47,-8,54
Vicenza,42,12,17,13,40,41,-1,53
PiacenzaPiacenza,42,13,14,15,40,45,-5,53
Frosinone,42,15,8,19,50,67,-17,53
AnconaAncona,42,15,9,18,55,56,-1,52
PadovaPadova,42,12,15,15,44,48,-4,51
TriestinaTriestina,42,13,12,17,41,51,-10,51
MantovaMantova,42,10,18,14,46,58,-12,48
GallipoliGallipoli,42,10,10,22,43,74,-31,40
Salernitana,42,5,8,29,40,80,-40,17
