team,GP,W,D,L,F,A,GD,P
Juventus,10,9,1,0,21,7,14,28
Internazionale,10,7,1,2,16,6,10,22
Napoli,10,7,1,2,19,11,8,22
AC Milan,10,5,3,2,20,14,6,18
Lazio,10,6,0,4,13,12,1,18
Fiorentina,10,4,3,3,16,8,8,15
Sampdoria,10,4,3,3,14,7,7,15
AS RomaR,10,4,3,3,17,13,4,15
Sassuolo,10,4,3,3,17,16,1,15
Torino,10,3,5,2,12,12,0,14
Genoa,10,4,2,4,16,19,-3,14
Cagliari,10,3,4,3,9,11,-2,13
Parma,10,4,1,5,10,14,-4,13
Atalanta,10,3,3,4,17,12,5,12
SPALS,10,4,0,6,8,13,-5,12
Udinese,10,2,3,5,10,15,-5,9
Bologna,10,2,3,5,8,14,-6,9
Empoli,10,1,3,6,9,15,-6,6
Frosinone,10,1,2,7,9,24,-15,5
Chievo Verona,10,0,2,8,8,26,-18,-1
