team,GP,W,D,L,F,A,GD,P
Carpi,42,22,14,6,59,28,31,80
Frosinone,42,20,11,11,62,49,13,71
Vicenza,42,18,14,10,44,37,7,68
Bologna,42,17,17,8,49,35,14,68
SpeziaS,42,18,13,11,59,40,19,67
Perugia,42,16,18,8,49,40,9,66
US Pescara,42,16,13,13,69,55,14,61
US Avellino,42,15,14,13,42,42,0,59
Livorno,42,15,14,13,57,50,7,59
Bari,42,14,12,16,43,49,-6,54
TrapaniT,42,13,14,15,56,67,-11,53
TernanaT,42,13,12,17,36,47,-11,51
Latina,42,11,17,14,38,41,-3,50
LancianoLanciano,42,10,20,12,49,48,1,50
Catania,42,12,13,17,59,60,-1,49
Pro VercelliV,42,12,13,17,46,57,-11,49
Crotone,42,12,12,18,42,52,-10,48
ModenaModena,42,10,17,15,37,39,-2,47
Virtus Entella,42,10,17,15,37,52,-15,47
CittadellaC,42,9,17,16,47,56,-9,44
Brescia,42,12,12,18,54,63,-9,42
VareseVarese,42,9,12,21,40,67,-27,35
