team,GP,W,D,L,F,A,GD,P
US Pescara,42,26,5,11,90,55,35,83
Torino,42,24,11,7,57,28,29,83
Sassuolo,42,22,14,6,57,33,24,80
Hellas Verona,42,23,9,10,60,41,19,78
VareseVarese,42,20,11,11,57,41,16,71
Sampdoria,42,17,16,9,53,34,19,67
Padova,42,18,9,15,56,58,-2,63
Brescia,42,15,12,15,48,50,-2,57
Juve StabiaJuve Stabia,42,16,13,13,53,49,4,57
RegginaReggina,42,14,13,15,63,59,4,55
Crotone,42,13,15,14,60,58,2,52
ModenaModena,42,12,16,14,50,58,-8,52
Bari,42,14,14,14,47,48,-1,50
GrossetoGrosseto,42,11,16,15,47,60,-13,49
Ascoli,42,15,11,16,47,50,-3,49
CittadellaC,42,13,9,20,51,64,-13,48
Livorno,42,12,12,18,49,49,0,48
Empoli,42,12,11,19,48,59,-11,47
Vicenza,42,10,14,18,43,61,-18,44
NocerinaNocerina,42,10,10,22,52,71,-19,40
GubbioGubbio,42,7,11,24,37,69,-32,32
Albinoleffe,42,6,12,24,39,69,-30,30
