team,GP,W,D,L,F,A,GD,P
Bari,42,22,14,6,65,35,30,80
Parma,42,19,19,4,65,34,31,76
Livorno,42,16,20,6,64,40,24,68
Brescia,42,18,13,11,54,40,14,67
Empoli,42,18,13,11,53,44,9,67
GrossetoGrosseto,42,18,10,14,64,66,-2,64
Sassuolo,42,15,15,12,57,50,7,60
Triestina,42,16,11,15,52,47,5,59
Albinoleffe,42,15,13,14,49,49,0,58
Piacenza,42,14,13,15,48,48,0,55
Frosinone,42,13,14,15,48,53,-5,53
Vicenza,42,13,13,16,44,41,3,52
MantovaMantova,42,12,16,14,41,46,-5,52
ModenaModena,42,13,12,17,54,63,-9,51
Salernitana,42,14,9,19,46,56,-10,51
Ascoli,42,14,10,18,37,48,-11,51
CittadellaC,42,11,17,14,42,43,-1,50
RiminiRimini,42,13,11,18,43,56,-13,50
AnconaAncona,42,14,7,21,54,66,-12,49
PisaP,42,12,12,18,45,55,-10,48
US Avellino,42,9,15,18,41,61,-20,40
TrevisoTreviso,42,7,15,20,37,62,-25,35
