team,GP,W,D,L,F,A,GD,P
Cagliari,42,25,8,9,78,41,37,83
Crotone,42,23,13,6,61,36,25,82
TrapaniT,42,20,13,9,64,49,15,73
US Pescara,42,21,9,12,69,52,17,72
Bari,42,19,11,12,58,48,10,68
Cesena,42,19,11,12,57,37,20,68
SpeziaS,42,17,15,10,47,45,2,66
Novara,42,19,10,13,57,35,22,65
Virtus Entella,42,17,13,12,51,40,11,64
Perugia,42,14,13,15,40,40,0,55
Brescia,42,14,12,16,55,64,-9,54
Ternana,42,15,8,19,50,56,-6,53
Vicenza,42,11,16,15,41,53,-12,49
US Avellino,42,13,10,19,52,66,-14,49
Ascoli,42,13,8,21,45,64,-19,47
Latina,42,10,16,16,44,51,-7,46
Pro VercelliV,42,11,13,18,43,53,-10,46
Salernitana,42,9,18,15,48,62,-14,45
LancianoLanciano,42,12,12,18,43,56,-13,44
Livorno,42,10,12,20,45,57,-12,42
ModenaModena,42,11,9,22,37,55,-18,42
ComoC,42,5,18,19,39,64,-25,33
