team,GP,W,D,L,F,A,GD,P
Palermo,42,25,11,6,62,28,34,86
Empoli,42,20,12,10,59,35,24,72
Latina,42,18,14,10,44,36,8,68
Cesena,42,17,15,10,45,35,10,66
ModenaModena,42,16,16,10,65,43,22,64
Bari,42,19,10,13,52,43,9,63
Crotone,42,17,12,13,56,52,4,63
SpeziaS,42,16,14,12,46,48,-2,62
Siena,42,18,15,9,57,41,16,61
LancianoLanciano,42,15,15,12,44,45,-1,60
Brescia,42,15,14,13,56,53,3,59
US Avellino,42,15,14,13,48,45,3,59
Carpi,42,16,11,15,50,49,1,59
TrapaniT,42,14,15,13,58,54,4,57
US Pescara,42,13,13,16,50,53,-3,52
Ternana,42,12,15,15,54,56,-2,51
CittadellaC,42,11,14,17,42,49,-7,47
VareseVarese,42,12,11,19,51,63,-12,47
Novara,42,10,14,18,40,58,-18,44
Padova,42,10,11,21,45,63,-18,41
RegginaReggina,42,6,11,25,38,70,-32,28
Juve StabiaJuve Stabia,42,2,13,27,37,80,-43,19
