team,GP,W,D,L,F,A,GD,P
Chievo Verona,42,24,13,5,77,43,34,85
Bologna,42,24,12,6,58,29,29,84
Lecce,42,23,14,5,70,29,41,83
Albinoleffe,42,23,9,10,67,48,19,78
Brescia,42,20,12,10,59,40,19,72
PisaP,42,19,14,9,61,44,17,71
RiminiRimini,42,20,9,13,68,46,22,69
Ascoli,42,16,14,12,64,49,15,62
MantovaMantova,42,16,12,14,56,49,7,60
Frosinone,42,15,11,16,63,67,-4,56
Bari,42,13,16,13,50,55,-5,55
Triestina,42,13,12,17,55,67,-12,51
GrossetoGrosseto,42,10,19,13,47,54,-7,49
MessinaMessina,42,13,10,19,38,65,-27,49
Piacenza,42,13,8,21,43,59,-16,47
ModenaModena,42,10,16,16,57,65,-8,46
TrevisoTreviso,42,11,12,19,41,52,-11,45
Vicenza,42,10,15,17,43,60,-17,45
US Avellino,42,8,12,22,42,64,-22,36
RavennaRavenna,42,8,11,23,48,75,-27,35
SpeziaS,42,6,16,20,45,66,-21,33
Cesena,42,5,17,20,37,66,-29,32
