Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D2,28/09/97,Energie Cottbus,SpVgg Greuther Fürth,3,0,H,2,0,H,,,,,,,,,,,
D2,28/09/97,CZ Jena,Eintracht Frankfurt,2,1,H,2,1,H,,,,,,,,,,,
D2,28/09/97,SC Freiburg,Meppen,4,2,H,1,0,H,,,,,,,,,,,
D2,28/09/97,VfB Stuttgarter K,St Pauli,3,1,H,3,1,H,,,,,,,,,,,
D2,28/09/97,Wattenscheid,Mainz,1,1,D,1,0,H,,,,,,,,,,,
D2,29/09/97,Leipzig,Uerdingen,2,1,H,0,0,D,,,,,,,,,,,
D2,03/10/97,Mainz,VfB Stuttgarter K,3,3,D,2,2,D,,,,,,,,,,,
D2,03/10/97,Uerdingen,CZ Jena,2,0,H,0,0,D,,,,,,,,,,,
D2,04/10/97,F Koln,Dusseldorf,0,3,A,0,0,D,,,,,,,,,,,
D2,05/10/97,Gutersloh,Eintracht Frankfurt,0,0,D,0,0,D,,,,,,,,,,,
D2,05/10/97,Meppen,Leipzig,6,0,H,2,0,H,,,,,,,,,,,
D2,05/10/97,St Pauli,Energie Cottbus,2,2,D,1,1,D,,,,,,,,,,,
D2,05/10/97,Unterhaching,SC Freiburg,1,1,D,1,0,H,,,,,,,,,,,
D2,05/10/97,Zwickau,Wattenscheid,0,0,D,0,0,D,,,,,,,,,,,
D2,06/10/97,SpVgg Greuther Fürth,Nurnberg,0,1,A,0,1,A,,,,,,,,,,,
D2,17/10/97,Energie Cottbus,Mainz,2,2,D,1,0,H,,,,,,,,,,,
D2,17/10/97,CZ Jena,Meppen,2,1,H,0,0,D,,,,,,,,,,,
D2,19/10/97,Dusseldorf,Gutersloh,0,1,A,0,1,A,,,,,,,,,,,
D2,19/10/97,SC Freiburg,SpVgg Greuther Fürth,0,1,A,0,1,A,,,,,,,,,,,
D2,19/10/97,Leipzig,Unterhaching,1,0,H,1,0,H,,,,,,,,,,,
D2,19/10/97,Nurnberg,St Pauli,1,0,H,0,0,D,,,,,,,,,,,
D2,19/10/97,VfB Stuttgarter K,Zwickau,1,0,H,1,0,H,,,,,,,,,,,
D2,19/10/97,Wattenscheid,F Koln,4,2,H,1,1,D,,,,,,,,,,,
