Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,11/08/95,Borussia Dortmund,Kaiserslautern,1,1,D,0,0,D,,,,,,,,,,,
D1,11/08/95,VfB Stuttgart,Uerdingen,0,0,D,0,0,D,,,,,,,,,,,
D1,11/08/95,Werder Bremen,Dusseldorf,1,1,D,1,1,D,,,,,,,,,,,
D1,12/08/95,Bayern Munich,Hamburg SV,3,2,H,1,1,D,,,,,,,,,,,
D1,12/08/95,Eintracht Frankfurt,Karlsruher SC,2,2,D,1,1,D,,,,,,,,,,,
D1,12/08/95,FC Cologne,Schalke 04,0,1,A,0,0,D,,,,,,,,,,,
D1,12/08/95,Hansa Rostock,Bayer Leverkusen,1,2,A,0,2,A,,,,,,,,,,,
D1,12/08/95,St Pauli,TSV Munich 1860,4,2,H,1,1,D,,,,,,,,,,,
D1,13/08/95,Borussia Monchengladbach,SC Freiburg,1,0,H,0,0,D,,,,,,,,,,,
D1,18/08/95,SC Freiburg,St Pauli,0,2,A,0,0,D,,,,,,,,,,,
D1,18/08/95,Hamburg SV,Werder Bremen,3,3,D,2,1,H,,,,,,,,,,,
D1,18/08/95,Schalke 04,Hansa Rostock,1,3,A,0,1,A,,,,,,,,,,,
D1,19/08/95,Kaiserslautern,Borussia Monchengladbach,1,3,A,0,1,A,,,,,,,,,,,
D1,19/08/95,Karlsruher SC,Bayern Munich,2,6,A,1,3,A,,,,,,,,,,,
D1,19/08/95,Bayer Leverkusen,Borussia Dortmund,1,1,D,0,0,D,,,,,,,,,,,
D1,19/08/95,TSV Munich 1860,VfB Stuttgart,1,1,D,1,0,H,,,,,,,,,,,
D1,19/08/95,Uerdingen,Eintracht Frankfurt,1,1,D,0,1,A,,,,,,,,,,,
D1,20/08/95,Dusseldorf,FC Cologne,1,1,D,1,0,H,,,,,,,,,,,
D1,29/08/95,FC Cologne,Hamburg SV,3,2,H,1,0,H,,,,,,,,,,,
D1,29/08/95,Hansa Rostock,Borussia Dortmund,3,2,H,1,1,D,,,,,,,,,,,
D1,29/08/95,Borussia Monchengladbach,Bayer Leverkusen,0,0,D,0,0,D,,,,,,,,,,,
D1,29/08/95,St Pauli,Kaiserslautern,1,2,A,0,2,A,,,,,,,,,,,
D1,29/08/95,Werder Bremen,Karlsruher SC,1,0,H,0,0,D,,,,,,,,,,,
D1,30/08/95,Bayern Munich,Uerdingen,2,0,H,1,0,H,,,,,,,,,,,
D1,30/08/95,Eintracht Frankfurt,TSV Munich 1860,4,2,H,0,0,D,,,,,,,,,,,
D1,30/08/95,Schalke 04,Dusseldorf,1,1,D,0,1,A,,,,,,,,,,,
D1,30/08/95,VfB Stuttgart,SC Freiburg,3,1,H,2,1,H,,,,,,,,,,,
D1,01/09/95,Borussia Dortmund,Borussia Monchengladbach,2,1,H,0,1,A,,,,,,,,,,,
D1,01/09/95,Karlsruher SC,FC Cologne,1,0,H,0,0,D,,,,,,,,,,,
D1,02/09/95,Dusseldorf,Hansa Rostock,2,2,D,0,1,A,,,,,,,,,,,
