Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,08/09/93,Borussia Monchengladbach,Bayer Leverkusen,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,08/09/93,Nurnberg,Karlsruher SC,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,08/09/93,Wattenscheid,MSV Duisburg,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,08/09/93,Werder Bremen,Bayern Munich,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,18/09/93,Bayern Munich,Wattenscheid,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,18/09/93,Dresden,Borussia Monchengladbach,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,18/09/93,MSV Duisburg,Borussia Dortmund,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,18/09/93,SC Freiburg,Kaiserslautern,2,3,A,,,,,,,,,,,,,,,,,,,,,
D1,18/09/93,Karlsruher SC,Werder Bremen,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,18/09/93,Leipzig,Hamburg SV,1,4,A,,,,,,,,,,,,,,,,,,,,,
D1,18/09/93,Bayer Leverkusen,Eintracht Frankfurt,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,18/09/93,Schalke 04,Nurnberg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,18/09/93,VfB Stuttgart,FC Cologne,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/09/93,Borussia Dortmund,Bayern Munich,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/09/93,Eintracht Frankfurt,Dresden,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,25/09/93,FC Cologne,Leipzig,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,25/09/93,Hamburg SV,MSV Duisburg,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,25/09/93,Kaiserslautern,Bayer Leverkusen,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,25/09/93,Karlsruher SC,Schalke 04,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,25/09/93,Borussia Monchengladbach,VfB Stuttgart,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,25/09/93,Nurnberg,SC Freiburg,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,25/09/93,Werder Bremen,Wattenscheid,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,02/10/93,Bayern Munich,Hamburg SV,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,02/10/93,Dresden,Kaiserslautern,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,02/10/93,MSV Duisburg,FC Cologne,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,02/10/93,SC Freiburg,Karlsruher SC,3,3,D,,,,,,,,,,,,,,,,,,,,,
